id,domain,meta-action,total-refinement-time,valid-refinements,already-valid,succeded,state-space-search-time,stackelberg-output-parsing,initial-refinement-possibilities,final-refinement-possibilities
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,barman,$meta_contains_0,2369324,0,False,True,2267841,20,24,3
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,barman,$meta_handempty_0,596780,1,True,True,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,barman,$meta_clean_0,646311,1,False,True,315137,3,36,6
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,barman,$meta_holding_1,2317767,0,False,False,2304267,3,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,barman,$meta_unshaked,2424477,0,False,True,2364667,3,6,2
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,barman,$meta_shaker-level,3137937,0,False,True,2350096,9,116,17
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,barman,$meta_holding_0,604560,1,True,True,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,barman,$meta_shaked,2337229,0,False,False,2324880,3,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,barman,$meta_contains_0,2369601,0,False,True,2271200,16,24,3
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,barman,$meta_unshaked,2470606,0,False,True,2409749,4,6,2
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,barman,$meta_holding_1,2282269,0,False,False,2267843,5,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,barman,$meta_shaker-level,3137474,0,False,True,2342465,9,116,17
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,barman,$meta_shaked,2330082,0,False,False,2317699,3,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,blocksworld,$meta_arm-empty_3,1567975,0,False,False,1563567,8,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,blocksworld,$meta_arm-empty_2,1448932,0,False,False,1444808,5,0,0
